Member,Party,Electorate,State
Hon Kate Ellis,Labor,Adelaide,SA
Hon Alan Tudge,Liberal,Aston,Vic
Hon Catherine King,Labor,Ballarat,Vic
David Coleman,Liberal,Banks,NSW
Tony Pasin,Liberal,Barker,SA
Nick Varvaris,Liberal,Barton,NSW
Andrew Nikolic,Liberal,Bass,Tas
Hon David Feeney,Labor,Batman,Vic
Lisa Chesters,Labor,Bendigo,Vic
John Alexander,Liberal,Bennelong,NSW
Hon Philip Ruddock,Liberal,Berowra,NSW
Hon Shayne Neumann,Labor,Blair,Qld
Hon Jason Clare,Labor,Blaxland,NSW
Ross Vasta,LNP,Bonner,Qld
Dr Andrew Southcott,Liberal,Boothby,SA
Dr Andrew Laming,LNP,Bowman,Qld
Brett Whiteley,Liberal,Braddon,Tas
Hon Paul Fletcher,Liberal,Bradfield,NSW
Hon Gary Gray,Labor,Brand,WA
Hon Teresa Gambaro,LNP,Brisbane,Qld
Hon Alan Griffin,Labor,Bruce,Vic
Hon John Cobb,National,Calare,NSW
Maria Vamvakinou,Labor,Calwell,Vic
Gai Brodtmann,Labor,Canberra,ACT
Don Randall,Liberal,Canning,WA
Michelle Landry,LNP,Capricornia,Qld
Hon Tony Smith,Liberal,Casey,Vic
Pat Conroy,Labor,Charlton,NSW
Hon Ed Husic,Labor,Chifley,NSW
Anna Burke,Labor,Chisholm,Vic
Hon Scott Morrison,Liberal,Cook,NSW
Sarah Henderson,Liberal,Corangamite,Vic
Hon Richard Marles,Labor,Corio,Vic
Luke Simpkins,Liberal,Cowan,WA
Hon Luke Hartsuyker,National,Cowper,NSW
Sharon Bird,Labor,Cunningham,NSW
Hon Julie Bishop,Liberal,Curtin,WA
George Christensen,LNP,Dawson,Qld
Michael Sukkar,Liberal,Deakin,Vic
Andrew Wilkie,Independent,Denison,Tas
Hon Peter Dutton,LNP,Dickson,Qld
Karen McNamara,Liberal,Dobell,NSW
Hon Bruce Billson,Liberal,Dunkley,Vic
Melissa Price,Liberal,Durack,WA
Dr Peter Hendy,Liberal,Eden-Monaro,NSW
Hon Stuart Robert,LNP,Fadden,Qld
Clive Palmer,Palmer United,Fairfax,Qld
Hon Sussan Ley,Liberal,Farrer,NSW
Hon Mal Brough,LNP,Fisher,Qld
Hon Greg Hunt,Liberal,Flinders,Vic
Ken O'Dowd,LNP,Flynn,Qld
Bert van Manen,LNP,Forde,Qld
Nola Marino,Liberal,Forrest,WA
Chris Hayes,Labor,Fowler,NSW
Julie Collins,Labor,Franklin,Tas
Hon Dr Andrew Leigh,Labor,Fraser,ACT
Hon Melissa Parke,Labor,Fremantle,WA
Tim Watts,Labor,Gellibrand,Vic
Ann Sudmalis,Liberal,Gilmore,NSW
Hon Darren Chester,National,Gippsland,Vic
Hon Andrew Robb,Liberal,Goldstein,Vic
Hon Brendan O'Connor,Labor,Gorton,Vic
Hon Anthony Albanese,Labor,Grayndler,NSW
Michelle Rowland,Labor,Greenway,NSW
Rowan Ramsey,Liberal,Grey,SA
Terri Butler,Labor,Griffith,Qld
Hon Ian Macfarlane,LNP,Groom,Qld
Ken Wyatt,Liberal,Hasluck,WA
Ewen Jones,LNP,Herbert,Qld
Hon Kelly O'Dwyer,Liberal,Higgins,Vic
Matt Williams,Liberal,Hindmarsh,SA
Keith Pitt,LNP,Hinkler,Qld
Hon Anthony Byrne,Labor,Holt,Vic
Clare O'Neil,Labor,Hotham,Vic
Craig Kelly,Liberal,Hughes,NSW
Angus Taylor,Liberal,Hume,NSW
Hon Joel Fitzgibbon,Labor,Hunter,NSW
Cathy McGowan,Independent,Indi,Vic
Hon Mark Dreyfus,Labor,Isaacs,Vic
Hon Jenny Macklin,Labor,Jagajaga,Vic
Hon Bob Katter,Katter's Australian Party,Kennedy,Qld
Hon Matt Thistlethwaite,Labor,Kingsford Smith,NSW
Hon Amanda Rishworth,Labor,Kingston,SA
Hon Josh Frydenberg,Liberal,Kooyong,Vic
Jason Wood,Liberal,La Trobe,Vic
Joanne Ryan,Labor,Lalor,Vic
Hon Warren Entsch,LNP,Leichhardt,Qld
Hon Wayne Swan,Labor,Lilley,Qld
Fiona Scott,Liberal,Lindsay,NSW
Hon Warren Snowdon,Labor,Lingiari,NT
Wyatt Roy,LNP,Longman,Qld
Dr David Gillespie,National,Lyne,NSW
Eric Hutchinson,Liberal,Lyons,Tas
Russell Matheson,Liberal,Macarthur,NSW
Hon Bronwyn Bishop,Liberal,Mackellar,NSW
Louise Markus,Liberal,Macquarie,NSW
Tony Zappia,Labor,Makin,SA
Andrew Broad,National,Mallee,Vic
Hon Bruce Scott,LNP,Maranoa,Qld
Hon Bill Shorten,Labor,Maribyrnong,Vic
Hon Jamie Briggs,Liberal,Mayo,SA
Rob Mitchell,Labor,McEwen,Vic
Hon Chris Bowen,Labor,McMahon,NSW
Russell Broadbent,Liberal,McMillan,Vic
Hon Karen Andrews,LNP,McPherson,Qld
Adam Bandt,Greens,Melbourne,Vic
Hon Michael Danby,Labor,Melbourne Ports,Vic
Hon Kevin Andrews,Liberal,Menzies,Vic
Alex Hawke,Liberal,Mitchell,NSW
Hon Steve Ciobo,LNP,Moncrieff,Qld
Ian Goodenough,Liberal,Moore,WA
Graham Perrett,Labor,Moreton,Qld
Hon Dr Sharman Stone,Liberal,Murray,Vic
Hon Barnaby Joyce,National,New England,NSW
Sharon Claydon,Labor,Newcastle,NSW
Hon Joe Hockey,Liberal,North Sydney,NSW
Rick Wilson,Liberal,O'Connor,WA
Hon Bernie Ripoll,Labor,Oxley,Qld
Kevin Hogan,National,Page,NSW
Mark Coulton,National,Parkes,NSW
Julie Owens,Labor,Parramatta,NSW
Hon Bob Baldwin,Liberal,Paterson,NSW
Hon Christian Porter,Liberal,Pearce,WA
Hon Alannah MacTiernan,Labor,Perth,WA
Luke Howarth,LNP,Petrie,Qld
Hon Mark Butler,Labor,Port Adelaide,SA
Dr Jim Chalmers,Labor,Rankin,Qld
Craig Laundy,Liberal,Reid,NSW
Hon Justine Elliot,Labor,Richmond,NSW
Hon Michael McCormack,National,Riverina,NSW
Lucy Wicks,Liberal,Robertson,NSW
Jane Prentice,LNP,Ryan,Qld
Andrew Giles,Labor,Scullin,Vic
Jill Hall,Labor,Shortland,NSW
Natasha Griggs,CLP,Solomon,NT
Hon Michael Keenan,Liberal,Stirling,WA
Hon Christopher Pyne,Liberal,Sturt,SA
Steve Irons,Liberal,Swan,WA
Hon Tanya Plibersek,Labor,Sydney,NSW
Dr Dennis Jensen,Liberal,Tangney,WA
Stephen Jones,Labor,Throsby,NSW
Nick Champion,Labor,Wakefield,SA
Dan Tehan,Liberal,Wannon,Vic
Hon Tony Abbott,Liberal,Warringah,NSW
Hon Tony Burke,Labor,Watson,NSW
Hon Malcolm Turnbull,Liberal,Wentworth,NSW
Hon Laurie Ferguson,Labor,Werriwa,NSW
Hon Warren Truss,LNP,Wide Bay,Qld
Hon Kelvin Thomson,Labor,Wills,Vic
Scott Buchholz,LNP,Wright,Qld
